SITE,DATE,time line,pH,Temp,normality,sampleVolume,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp
CUPE,2014-12-30,December_2014,8.34,13.7,1.6,100,,,290.2,21.5
CUPE,2014-12-30,December_2014,8.39,13.7,1.6,100,,,,
CUPE,2015-01-20,January_2015,8.36,15.1,1.6,100,,,284.3,21.5
CUPE,2015-01-20,January_2015,8.4,14,1.6,100,,,,
CUPE,2015-02-03,Feburary_2015,8.37,18.1,1.6,100,,,268.1,22.1
CUPE,2015-02-03,Feburary_2015,8.41,16.1,1.6,100,,,,
CUPE,2015-02-25,Feburary_2015,8.32,10.6,1.6,100,,,219.3,21.3
CUPE,2015-02-25,Feburary_2015,8.42,10.6,1.6,100,,,,
CUPE,2015-03-25,March_2015,8.32,23.3,1.6,100,,,263.2,21.9
CUPE,2015-03-25,March_2015,8.35,22.1,1.6,100,,,,
CUPE,2015-06-16,June_2015,8.29,25.1,1.6,100,,,269.6,23.4
CUPE,2015-06-16,June_2015,8.33,23.9,1.6,100,,,,
CUPE,2015-07-01,July_2015,8.29,22,1.6,100,,,272.1,23.9
CUPE,2015-07-01,July_2015,8.29,22.2,1.6,100,,,,
CUPE,2015-07-21,July_2015,8.34,23.5,1.6,100,,,273.7,23.5
CUPE,2015-07-21,July_2015,8.35,23.6,1.6,100,,,,
CUPE,2015-08-04,August_2015,8.52,21.9,1.6,100,,,272.4,24.2
CUPE,2015-08-04,August_2015,8.52,22.7,1.6,100,,,,
CUPE,2015-08-18,August_2015,8.21,23.6,1.6,100,,,269.8,23.7
CUPE,2015-08-18,August_2015,8.3,23.4,1.6,100,,,,
CUPE,2015-09-02,September_2015,8.28,23,1.6,100,,,260.8,24
CUPE,2015-09-02,September_2015,8.11,21.3,1.6,100,,,,
CUPE,2015-09-09,September_2015,8.29,22.1,1.6,100,,,211.7,23.1
CUPE,2015-09-09,September_2015,8.28,22.2,1.6,100,,,,
