SITE,DATE,SPECIES,fishTotalLength,fishWeight,before_after
GUIL,2017-02-20,Gambusia_affinis,22,1,before
GUIL,2017-02-20,Gambusia_affinis,20,1,before
GUIL,2017-02-20,Gambusia_affinis,41,1,before
GUIL,2017-02-20,Gambusia_affinis,22,1,before
GUIL,2017-02-20,Gambusia_affinis,36,2,before
GUIL,2017-02-20,Gambusia_affinis,36,1,before
GUIL,2017-02-20,Gambusia_affinis,25,1,before
GUIL,2017-02-20,Gambusia_affinis,33,1,before
GUIL,2017-02-20,Gambusia_affinis,23,1,before
GUIL,2017-02-20,Gambusia_affinis,30,1,before
GUIL,2017-02-20,Gambusia_affinis,27,1,before
GUIL,2017-02-20,Gambusia_affinis,20,1,before
GUIL,2017-02-20,Gambusia_affinis,20,1,before
GUIL,2017-02-20,Gambusia_affinis,31,1,before
GUIL,2017-02-20,Gambusia_affinis,36,1,before
GUIL,2017-02-20,Gambusia_affinis,22,1,before
GUIL,2017-02-20,Gambusia_affinis,18,1,before
GUIL,2017-02-20,Gambusia_affinis,38,2,before
GUIL,2017-02-20,Gambusia_affinis,32,1,before
GUIL,2017-02-20,Gambusia_affinis,40,1,before
GUIL,2017-02-20,Gambusia_affinis,30,1,before
GUIL,2017-02-20,Gambusia_affinis,20,1,before
GUIL,2017-02-20,Gambusia_affinis,30,1,before
GUIL,2017-02-20,Gambusia_affinis,17,1,before
GUIL,2017-02-20,Gambusia_affinis,31,1,before
GUIL,2017-02-20,Gambusia_affinis,22,1,before
GUIL,2017-02-20,Gambusia_affinis,40,2,before
GUIL,2017-02-20,Gambusia_affinis,27,1,before
GUIL,2017-12-05,Gambusia_affinis,36,1,after
GUIL,2017-12-07,Gambusia_affinis,13,0,after
GUIL,2017-12-07,Gambusia_affinis,34,0,after
GUIL,2017-12-07,Gambusia_affinis,44,1,after
GUIL,2017-12-07,Gambusia_affinis,29,1,after
GUIL,2018-02-05,Gambusia_affinis,22,0,after
GUIL,2018-02-05,Gambusia_affinis,18,0,after
GUIL,2018-02-05,Gambusia_affinis,23,0,after
GUIL,2018-02-05,Gambusia_affinis,28,1,after
GUIL,2018-02-05,Gambusia_affinis,24,0,after
GUIL,2018-02-07,Gambusia_affinis,36,1,after
GUIL,2018-02-07,Gambusia_affinis,26,0,after
GUIL,2018-02-07,Gambusia_affinis,27,0,after
GUIL,2018-02-08,Gambusia_affinis,11,0,after
GUIL,2018-02-08,Gambusia_affinis,7,0,after
GUIL,2017-02-20,Poecilia_reticulata,22,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,24,1,before
GUIL,2017-02-20,Poecilia_reticulata,27,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,24,1,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,28,1,before
